Timestamp,Source,Destination,Protocol,Length
2019-01-17 18:29:10.479083,66.132.107.223,203.127.163.126,TCP,1504
2019-01-17 18:29:10.479085,45.46.229.179,180.212.28.223,TCP,1456
2019-01-17 18:29:10.479088,186.57.117.190,175.240.28.216,TCP,1504
2019-01-17 18:29:10.479094,34.233.225.6,180.222.92.178,TCP,1404
2019-01-17 18:29:10.479095,195.176.14.103,161.5.162.251,TCP,64
2019-01-17 18:29:10.479095,145.204.47.249,158.48.141.152,_WS.SHORT,200
2019-01-17 18:29:10.479097,34.233.225.6,180.222.92.178,TCP,1404
2019-01-17 18:29:10.479098,66.132.107.223,203.127.163.126,TCP,1504
2019-01-17 18:29:10.479100,186.57.117.190,175.240.28.216,TCP,1504
2019-01-17 18:29:10.479105,52.113.13.143,161.192.10.102,TCP,56
2019-01-17 18:29:10.479109,79.73.114.1,182.22.165.151,_WS.SHORT,52
2019-01-17 18:29:10.479113,81.185.15.168,161.28.213.231,_WS.SHORT,1457
2019-01-17 18:29:10.479115,186.57.117.190,175.240.28.216,TCP,1504
2019-01-17 18:29:10.479117,55.33.47.51,45.236.211.237,TCP,1344
2019-01-17 18:29:10.479122,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479123,47.52.217.101,161.159.175.233,TCP,57
2019-01-17 18:29:10.479125,169.221.13.230,175.73.135.254,TCP,50
2019-01-17 18:29:10.479128,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479130,16.136.239.163,175.240.28.13,TCP,341
2019-01-17 18:29:10.479131,205.190.20.171,161.194.48.94,TCP,1496
2019-01-17 18:29:10.479133,205.190.20.171,161.194.48.94,TCP,1496
2019-01-17 18:29:10.479134,46.91.74.24,162.67.233.38,TCP,108
2019-01-17 18:29:10.479135,16.136.224.76,175.241.100.25,ICMP,64
2019-01-17 18:29:10.479136,95.247.218.38,169.77.38.235,_WS.SHORT,312
2019-01-17 18:29:10.479137,46.166.185.64,136.255.171.55,TCP,1484
2019-01-17 18:29:10.479138,46.166.185.64,136.255.171.55,TCP,1484
2019-01-17 18:29:10.479140,52.223.227.38,146.55.105.92,TCP,50
2019-01-17 18:29:10.479141,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479142,178.4.124.44,161.80.83.97,_WS.SHORT,1380
2019-01-17 18:29:10.479143,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479145,55.33.47.51,45.236.211.237,TCP,1344
2019-01-17 18:29:10.479146,95.194.38.106,182.250.166.254,_WS.SHORT,1457
2019-01-17 18:29:10.479147,131.186.246.121,162.160.57.5,TCP,64
2019-01-17 18:29:10.479147,213.148.23.83,161.195.236.46,_WS.SHORT,1382
2019-01-17 18:29:10.479148,190.202.169.103,175.84.157.208,TCP,50
2019-01-17 18:29:10.479152,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479157,55.33.47.51,45.236.211.237,TCP,1344
2019-01-17 18:29:10.479158,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479159,169.148.229.197,180.211.115.33,TCP,1496
2019-01-17 18:29:10.479162,169.148.229.197,180.211.115.33,TCP,1496
2019-01-17 18:29:10.479164,45.46.229.179,180.212.28.223,TCP,809
2019-01-17 18:29:10.479165,55.33.47.51,45.236.211.237,TCP,288
2019-01-17 18:29:10.479166,198.85.75.155,146.55.105.100,TCP,777
2019-01-17 18:29:10.479167,169.148.229.197,180.211.115.33,TCP,1496
2019-01-17 18:29:10.479168,55.37.177.67,45.224.196.59,TCP,1404
2019-01-17 18:29:10.479170,45.58.121.30,171.198.87.39,TCP,1456
2019-01-17 18:29:10.479171,34.233.225.6,180.222.92.178,TCP,913
2019-01-17 18:29:10.479172,169.221.13.230,175.240.29.150,TCP,50
2019-01-17 18:29:10.479172,30.220.161.116,146.55.105.104,TCP,56
2019-01-17 18:29:10.479173,46.166.185.64,136.255.171.55,TCP,1484
2019-01-17 18:29:10.479175,89.84.167.105,175.73.89.60,TCP,1484
2019-01-17 18:29:10.479176,46.166.185.64,136.255.171.55,TCP,1484
2019-01-17 18:29:10.479177,45.58.121.30,171.198.87.39,TCP,1456
2019-01-17 18:29:10.479178,45.58.121.30,171.198.87.39,TCP,315
2019-01-17 18:29:10.479179,189.55.242.120,146.55.105.102,TCP,469
2019-01-17 18:29:10.479179,55.37.177.67,45.224.196.59,TCP,1404
